,Median,MAD Interval,95% Interval
"scfa, 26 folds",0.27153361344537813,"(0.2027, 0.3404)","(0.2222, 0.5515)"
"16s, 26 folds",0.6792133520074697,"(0.5983, 0.7601)","(0.5772, 0.8456)"
"metabs, 26 folds",0.525735294117647,"(0.489, 0.5625)","(0.4191, 0.625)"
"metabs_16s_scfa_toxin_demo, 26 folds",0.5177696078431373,"(0.4589, 0.5766)","(0.2143, 0.6176)"
"metabs_16s_scfa_demo, 26 folds",0.4816176470588235,"(0.3977, 0.5655)","(0.1984, 0.75)"
"toxin, 27 folds",0.3169934640522876,"(0.2248, 0.4092)","(0.1961, 0.5)"
