,Median,MAD Interval,95% Interval
"scfa, 40 folds",0.5328282828282829,"(0.505, 0.5607)","(0.3838, 0.7)"
"16s, 39 folds",0.5,"(0.4616, 0.5384)","(0.1152, 0.7697)"
"metabs, 40 folds",0.5126262626262625,"(0.3714, 0.6539)","(0.3687, 0.9176)"
"metabs_16s_scfa_toxin_demo, 37 folds",0.4895833333333333,"(0.3909, 0.5883)","(0.2667, 0.8)"
"metabs_16s_scfa_demo, 39 folds",0.36979166666666663,"(0.2542, 0.4854)","(0.2604, 0.8594)"
"toxin, 40 folds",0.6161616161616161,"(0.6028, 0.6296)","(0.5588, 0.7588)"
