,0
176-1,0.0
123-1,0.0
114-1,0.0
131-1,0.0
168-1,0.0
140-1,0.0
139-1,0.0
116-1,0.0
145-1,0.0
109-1,0.0
169-1,0.0
175-1,0.0
155-1,0.0
153-1,0.0
115-1,0.0
138-1,0.0
170-1,0.0
133-1,0.0
150-1,0.0
174-1,0.0
152-1,0.0
147-1,0.0
160-1,0.0
103-1,0.0
106-1,0.0
144-1,0.0
102-1,0.0
151-1,0.0
142-1,0.0
126-1,0.0
127-1,0.0
129-1,0.0
132-1,0.0
176-2,1.0
123-2,1.0
171-2,1.0
114-2,1.0
131-2,1.0
168-2,1.0
140-2,1.0
139-2,1.0
116-2,1.0
109-2,1.0
169-2,1.0
175-2,1.0
155-2,1.0
153-2,1.0
115-2,1.0
138-2,1.0
170-2,1.0
133-2,1.0
150-2,1.0
174-2,1.0
152-2,1.0
147-2,1.0
160-2,1.0
103-2,1.0
106-2,1.0
144-2,1.0
102-2,1.0
151-2,1.0
142-2,1.0
126-2,1.0
127-2,1.0
129-2,1.0
132-2,1.0
