,0
143-0,0.0
134-0,0.0
163-0,0.0
124-0,0.0
146-0,0.0
130-0,0.0
108-0,0.0
120-0,0.0
148-1,1.0
167-1,1.0
105-1,1.0
165-1,1.0
162-1,1.0
161-1,1.0
120-1,1.0
158-1,1.0
119-1,1.0
149-1,1.0
163-1,1.0
124-1,1.0
136-1,1.0
121-1,1.0
