,Median,MAD Interval,95% Interval
"scfa, 48 folds",0.4711758829405888,"(0.4374, 0.505)","(0.371, 0.5792)"
"demo, 47 folds",0.47294372294372294,"(0.3858, 0.56)","(0.2172, 0.7857)"
"16s, 47 folds",0.4598214285714286,"(0.4239, 0.4958)","(0.3103, 0.5815)"
"metabs, 48 folds",0.680275606746195,"(0.6407, 0.7199)","(0.5724, 0.7443)"
"metabs_16s_scfa_toxin_demo, 47 folds",0.6713286713286714,"(0.6293, 0.7133)","(0.5571, 0.7634)"
"metabs_16s_scfa_demo, 47 folds",0.6517857142857142,"(0.6187, 0.6849)","(0.5871, 0.7299)"
"toxin, 48 folds",0.30427905427905433,"(0.2491, 0.3595)","(0.1775, 0.4286)"
