,Median,MAD Interval,95% Interval
"scfa, 40 folds",0.4797979797979798,"(0.4141, 0.5455)","(0.1529, 0.6111)"
"16s, 39 folds",0.40625,"(0.3264, 0.4861)","(0.1484, 0.5833)"
"metabs, 40 folds",0.7736185383244207,"(0.7377, 0.8095)","(0.6941, 0.8485)"
"toxin, 40 folds",0.3681669637551991,"(0.3101, 0.4262)","(0.2626, 0.6176)"
