,Median,MAD Interval,95% Interval
"scfa, 26 folds",0.6775210084033614,"(0.6432, 0.7118)","(0.5625, 0.7659)"
"16s, 26 folds",0.36665499533146595,"(0.294, 0.4393)","(0.1691, 0.6176)"
"metabs, 26 folds",0.49264705882352944,"(0.4068, 0.5785)","(0.2698, 0.6667)"
"metabs_16s_scfa_toxin_demo, 26 folds",0.39994747899159666,"(0.3226, 0.4773)","(0.261, 0.6838)"
"toxin, 27 folds",0.39215686274509803,"(0.3691, 0.4152)","(0.1806, 0.4653)"
