,Median,MAD Interval,95% Interval
"scfa, 40 folds",0.445,"(0.398, 0.492)","(0.29, 0.595)"
"16s, 39 folds",0.5572916666666666,"(0.4625, 0.6521)","(0.22, 0.7656)"
"metabs, 40 folds",0.78,"(0.7326, 0.8274)","(0.635, 0.885)"
"toxin, 40 folds",0.475,"(0.4592, 0.4908)","(0.415, 0.505)"
