,Median,MAD Interval,95% Interval
"scfa, 40 folds",0.17045454545454547,"(0.1278, 0.2131)","(0.0412, 0.3005)"
"16s, 39 folds",0.4375,"(0.3885, 0.4865)","(0.2969, 0.6146)"
"metabs, 40 folds",0.761215092097445,"(0.7259, 0.7966)","(0.6529, 0.8182)"
"toxin, 40 folds",0.44191919191919193,"(0.399, 0.4848)","(0.3535, 0.5618)"
