,Median,MAD Interval,95% Interval
"scfa, 26 folds",0.51,"(0.4748, 0.5452)","(0.43, 0.59)"
"16s, 26 folds",0.47,"(0.4346, 0.5054)","(0.36, 0.63)"
"metabs, 26 folds",0.5925,"(0.5475, 0.6375)","(0.415, 0.725)"
"metabs_16s_scfa_toxin_demo, 26 folds",0.5375000000000001,"(0.4775, 0.5975)","(0.29, 0.765)"
"metabs_16s_scfa_demo, 26 folds",0.5275000000000001,"(0.461, 0.594)","(0.325, 0.66)"
"toxin, 27 folds",0.43,"(0.4044, 0.4556)","(0.375, 0.715)"
