,Median,MAD Interval,95% Interval
"scfa, 48 folds",0.4775,"(0.46, 0.495)","(0.43, 0.535)"
"16s, 47 folds",0.425,"(0.3769, 0.4731)","(0.3415, 0.675)"
"metabs, 48 folds",0.7675000000000001,"(0.7042, 0.8308)","(0.54, 0.935)"
"toxin, 48 folds",0.465,"(0.4281, 0.5019)","(0.345, 0.545)"
