,Median,MAD Interval,95% Interval
"scfa, 40 folds",0.3333333333333333,"(0.2871, 0.3796)","(0.25, 0.4853)"
"16s, 39 folds",0.30729166666666663,"(0.2285, 0.3861)","(0.099, 0.7636)"
"metabs, 40 folds",0.4949494949494949,"(0.4255, 0.5644)","(0.3586, 0.7222)"
"toxin, 40 folds",0.7222222222222223,"(0.7115, 0.7329)","(0.6412, 0.7222)"
