,Median,MAD Interval,95% Interval
"scfa, 48 folds",0.4642857142857143,"(0.4495, 0.4791)","(0.3484, 0.5)"
"demo, 44 folds",0.48593073593073594,"(0.3906, 0.5813)","(0.2195, 0.7489)"
"16s, 47 folds",0.5194805194805194,"(0.4563, 0.5826)","(0.3438, 0.6786)"
"metabs, 48 folds",0.7683982683982684,"(0.7412, 0.7955)","(0.7056, 0.8636)"
"metabs_16s_scfa_toxin_demo, 47 folds",0.7857142857142857,"(0.7531, 0.8184)","(0.5967, 0.875)"
"metabs_16s_scfa_demo, 47 folds",0.7832167832167833,"(0.7557, 0.8108)","(0.5478, 0.8705)"
"toxin, 48 folds",0.14699516170104404,"(0.0474, 0.2466)","(0.1299, 0.5)"
