,Median,MAD Interval,95% Interval
"scfa, 40 folds",0.445,"(0.398, 0.492)","(0.29, 0.595)"
"16s, 39 folds",0.5572916666666666,"(0.4625, 0.6521)","(0.22, 0.7656)"
"metabs, 40 folds",0.78,"(0.7326, 0.8274)","(0.635, 0.885)"
"metabs_16s_scfa_toxin_demo, 37 folds",0.705,"(0.6657, 0.7443)","(0.565, 0.795)"
"metabs_16s_scfa_demo, 39 folds",0.695,"(0.6523, 0.7377)","(0.495, 0.825)"
"toxin, 40 folds",0.475,"(0.4592, 0.4908)","(0.415, 0.505)"
