,Median,MAD Interval,95% Interval
"scfa, 48 folds",0.4642857142857143,"(0.4495, 0.4791)","(0.3484, 0.5)"
"16s, 47 folds",0.5194805194805194,"(0.4563, 0.5826)","(0.3438, 0.6786)"
"metabs, 48 folds",0.7683982683982684,"(0.7412, 0.7955)","(0.7056, 0.8636)"
"toxin, 48 folds",0.14699516170104404,"(0.0474, 0.2466)","(0.1299, 0.5)"
